scene,time,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW
0,0,-0.0681341,-0.8405404,-0.0328077,0.5364451
0,0.0118587,-0.06805032,-0.8405994,-0.03288822,0.5363584
0,0.0237174,-0.06825774,-0.8404872,-0.0329793,0.5365022
0,0.0385844,-0.06851839,-0.8403344,-0.03322382,0.5366932
0,0.0490114,-0.06881752,-0.8401575,-0.03326812,0.5369291
0,0.0602622,-0.06914748,-0.8399968,-0.03324667,0.5371394
0,0.0703925,-0.06960473,-0.8398533,-0.0333508,0.5372982
0,0.0799845,-0.06977621,-0.8396892,-0.03341759,0.5375282
0,0.0900252,-0.0698323,-0.8395002,-0.03339778,0.5378174
0,0.1020102,-0.06972365,-0.8392131,-0.03330237,0.5382853
0,0.1119042,-0.06952713,-0.8389713,-0.03293436,0.5387101
0,0.1215211,-0.0693623,-0.8386042,-0.03251579,0.5393281
0,0.1332643,-0.06928992,-0.838282,-0.03238836,0.5398456
0,0.1441291,-0.06935149,-0.8378293,-0.03217972,0.5405526
0,0.1552427,-0.06921766,-0.8373141,-0.03233411,0.5413582
0,0.1661706,-0.06905247,-0.8368753,-0.03231812,0.5420582
0,0.1778363,-0.06885906,-0.8362631,-0.03191451,0.5430506
0,0.188692,-0.06881125,-0.835717,-0.03155188,0.543918
0,0.1999597,-0.06874025,-0.8351784,-0.03115148,0.5447766
0,0.2108728,-0.06886165,-0.8346089,-0.03085725,0.5456501
0,0.2226548,-0.06897905,-0.8341156,-0.03056715,0.5464053
0,0.2333706,-0.06911959,-0.8335564,-0.03030531,0.5472549
0,0.2448095,-0.06922195,-0.8329592,-0.02993266,0.5481709
0,0.2558798,-0.06909817,-0.8323224,-0.02972458,0.5491643
0,0.2673075,-0.06887525,-0.8315812,-0.02951887,0.550325
0,0.2781969,-0.06845013,-0.8307143,-0.0292788,0.5516984
0,0.2896396,-0.06804146,-0.8298191,-0.02867615,0.553126
0,0.3003121,-0.06761174,-0.8288821,-0.02803619,0.5546145
0,0.3117194,-0.06731311,-0.8278673,-0.02736171,0.5561979
0,0.3228399,-0.06698312,-0.8267226,-0.02661175,0.557974
0,0.3345861,-0.06645566,-0.8254837,-0.02577103,0.5599073
0,0.3452363,-0.06585903,-0.824137,-0.02460791,0.5620101
0,0.356457,-0.06502175,-0.8226157,-0.02350721,0.5643784
0,0.3672238,-0.064012,-0.8209243,-0.02252944,0.5669906
0,0.3786275,-0.06293628,-0.8192459,-0.02137737,0.5695773
0,0.3894276,-0.06187848,-0.8171703,-0.02044286,0.5727006
0,0.4010075,-0.06057294,-0.8152621,-0.01912655,0.5755978
0,0.4119499,-0.05935607,-0.8131475,-0.01751431,0.5787583
0,0.4239321,-0.05833501,-0.8111752,-0.01602286,0.5816659
0,0.4349717,-0.05747458,-0.8093088,-0.01460888,0.5843821
0,0.4461124,-0.05697582,-0.8074619,-0.01304341,0.5870171
0,0.4575524,-0.05664061,-0.8057767,-0.01188465,0.589385
0,0.4686411,-0.05639898,-0.8041674,-0.01072487,0.5916239
0,0.4798877,-0.05606411,-0.8025948,-0.009812944,0.593803
0,0.4915856,-0.05560455,-0.8010564,-0.008867734,0.5959347
0,0.5034271,-0.05497215,-0.7995505,-0.007681388,0.5980285
0,0.5143366,-0.05448043,-0.7980911,-0.006556345,0.600033
0,0.5258036,-0.0540356,-0.7966241,-0.005502813,0.6020299
0,0.5369973,-0.05364378,-0.7950796,-0.004489318,0.6041114
0,0.5484474,-0.05349421,-0.7936532,-0.003769721,0.6060023
0,0.5597308,-0.05337157,-0.7922454,-0.003052015,0.6078564
0,0.5711555,-0.05329742,-0.7908024,-0.002382876,0.609742
0,0.5825236,-0.05316549,-0.7894616,-0.001727053,0.6114907
0,0.5937172,-0.05306912,-0.7880962,-0.001177511,0.6132591
0,0.6056397,-0.05317155,-0.7866666,-0.000557921,0.6150838
0,0.6165317,-0.05313314,-0.7853113,-1.279476E-05,0.6168169
0,0.6277063,-0.05319493,-0.7838252,0.0003901266,0.6186988
0,0.638679,-0.05315204,-0.7823369,0.0009626355,0.6205828
0,0.6505353,-0.05302575,-0.7808776,0.001457972,0.6224278
0,0.6610959,-0.05285954,-0.7794369,0.00193347,0.6242438
0,0.672282,-0.05290709,-0.7778474,0.00237255,0.6262178
0,0.6838863,-0.0527012,-0.7762787,0.002959168,0.6281762
0,0.6947687,-0.05256553,-0.7746158,0.00345021,0.6302344
0,0.706059,-0.05249963,-0.7730653,0.003974658,0.6321377
0,0.7176237,-0.05240019,-0.771514,0.004471047,0.6340351
0,0.7281055,-0.05235088,-0.7700902,0.004864858,0.6357649
0,0.7393543,-0.05234184,-0.768709,0.005469532,0.6374299
0,0.7500852,-0.05228902,-0.7674444,0.005842055,0.638953
0,0.7623113,-0.05218636,-0.7662114,0.006256666,0.6404355
0,0.7727313,-0.0523607,-0.7650468,0.006674317,0.6418079
0,0.7839525,-0.05234453,-0.7639455,0.007131393,0.6431147
0,0.7954195,-0.05233365,-0.7628409,0.007532018,0.644421
0,0.8063489,-0.05226275,-0.7618638,0.008064514,0.6455752
0,0.8171173,-0.05213017,-0.7608541,0.008473499,0.6467702
