scene,time,locationX,locationY,locationZ
0,0,-3.995,2.031367,-4.582534
0,0.0118587,-3.995,2.031367,-4.582534
0,0.0237174,-3.995,2.053509,-4.578373
0,0.0385844,-3.995,2.066257,-4.575585
0,0.0490114,-3.995,2.078273,-4.572201
0,0.0602622,-3.995,2.088419,-4.570031
0,0.0703925,-3.995,2.095164,-4.56712
0,0.0799845,-3.995,2.101208,-4.563499
0,0.0900252,-3.995,2.106375,-4.561481
0,0.1020102,-3.995,2.106017,-4.559823
0,0.1119042,-3.995,2.101941,-4.558826
0,0.1215211,-3.995,2.098304,-4.557153
0,0.1332643,-3.995,2.088036,-4.555769
0,0.1441291,-3.995,2.074857,-4.551243
0,0.1552427,-3.995,2.061596,-4.542598
0,0.1661706,-3.995,2.052436,-4.534579
0,0.1778363,-3.995,2.054358,-4.525056
0,0.188692,-3.995,2.057839,-4.517993
0,0.1999597,-3.995,2.070527,-4.513757
0,0.2108728,-3.995,2.08319,-4.511641
0,0.2226548,-3.995,2.089886,-4.508697
0,0.2333706,-3.995,2.093652,-4.503351
0,0.2448095,-3.995,2.09133,-4.494223
0,0.2558798,-3.995,2.083027,-4.483929
0,0.2673075,-3.995,2.068933,-4.469984
0,0.2781969,-3.995,2.056809,-4.454939
0,0.2896396,-3.995,2.038964,-4.431283
0,0.3003121,-3.995,2.020991,-4.405354
0,0.3117194,-3.995,1.997063,-4.363957
0,0.3228399,-3.995,1.979485,-4.329678
0,0.3345861,-3.995,1.963666,-4.292338
0,0.3452363,-3.995,1.950744,-4.251812
0,0.356457,-3.995,1.936946,-4.215104
0,0.3672238,-3.995,1.919407,-4.176848
0,0.3786275,-3.995,1.894738,-4.128506
0,0.3894276,-3.995,1.870141,-4.08427
0,0.4010075,-3.995,1.839189,-4.036037
0,0.4119499,-3.995,1.808019,-3.988557
0,0.4239321,-3.995,1.781574,-3.945477
0,0.4349717,-3.995,1.753038,-3.900481
0,0.4461124,-3.995,1.727618,-3.856391
0,0.4575524,-3.995,1.707296,-3.813937
0,0.4686411,-3.995,1.690402,-3.772651
0,0.4798877,-3.995,1.673806,-3.732837
0,0.4915856,-3.995,1.654278,-3.689966
0,0.5034271,-3.995,1.638745,-3.645733
0,0.5143366,-3.995,1.624912,-3.602233
0,0.5258036,-3.995,1.611213,-3.558902
0,0.5369973,-3.995,1.602408,-3.522012
0,0.5484474,-3.995,1.59402,-3.487967
0,0.5597308,-3.995,1.583997,-3.451471
0,0.5711555,-3.995,1.582948,-3.43074
0,0.5825236,-3.995,1.582632,-3.406749
0,0.5937172,-3.995,1.580515,-3.379745
0,0.6056397,-3.995,1.580171,-3.354033
0,0.6165317,-3.995,1.577771,-3.329943
0,0.6277063,-3.995,1.572563,-3.30393
0,0.638679,-3.995,1.566614,-3.280063
0,0.6505353,-3.995,1.55882,-3.258634
0,0.6610959,-3.995,1.552715,-3.237265
0,0.672282,-3.995,1.546976,-3.217953
0,0.6838863,-3.995,1.540375,-3.198038
0,0.6947687,-3.995,1.535125,-3.175469
0,0.706059,-3.995,1.528219,-3.151444
0,0.7176237,-3.995,1.522289,-3.12843
0,0.7281055,-3.995,1.519734,-3.105652
0,0.7393543,-3.995,1.516535,-3.085503
0,0.7500852,-3.995,1.513059,-3.066768
0,0.7623113,-3.995,1.508202,-3.051111
0,0.7727313,-3.995,1.494049,-3.035359
0,0.7839525,-3.995,1.4744,-3.018283
0,0.7954195,-3.995,1.457189,-3.001295
0,0.8063489,-3.995,1.433631,-2.986494
0,0.8171173,-3.995,1.416425,-2.97287
